"Url","Web Title","Web url","Web creation date","Web last item modified","ListName","List BaseType","List BaseTemplate","List DefaultViewUrl","List ItemCount","List LastItemModifiedDate"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","appdata","GenericList","125","","0","10/10/2019 9:03:20 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","appfiles","DocumentLibrary","126","","0","10/10/2019 9:03:20 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","Composed Looks","GenericList","124","","18","10/10/2019 9:03:20 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","Converted Forms","DocumentLibrary","10102","","0","10/23/2019 5:50:50 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","Documents","DocumentLibrary","101","","2","10/23/2019 5:53:25 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","Form Templates","DocumentLibrary","101","","0","11/13/2019 7:13:11 PM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","List Template Gallery","DocumentLibrary","114","","0","10/10/2019 9:03:18 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","Master Page Gallery","DocumentLibrary","116","","77","11/13/2019 7:13:12 PM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","Site Pages","DocumentLibrary","119","","1","11/13/2019 7:10:22 PM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","Solution Gallery","DocumentLibrary","121","","0","10/10/2019 9:03:15 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","Style Library","DocumentLibrary","101","","0","10/10/2019 9:03:19 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","TaxonomyHiddenList","GenericList","100","","0","11/13/2019 7:13:12 PM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","Theme Gallery","DocumentLibrary","123","","41","10/10/2019 9:03:26 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","User Information List","GenericList","112","","7","10/10/2019 9:03:45 AM"
"http://sp2019","Team","/","10/10/2019 9:03:06 AM","11/13/2019 7:13:12 PM","Web Part Gallery","DocumentLibrary","113","","22","10/10/2019 9:03:42 AM"
